User ID,GameExp,Quest Taken,Quest Completed,Dialogues,Loots,Loots Items,Loots Dead,Shots,Kills,Interaction NPC,Interaction Container,Attacks,Attacks - Quest Related,Attacks - Friendly NPC,Attacks - UnMotivated,Attacks - SelfDefense,Trajectory,loyalty_log
101,2.126400081,7,5,39,48,42,4,115,10,16,32,47,38,0,4,5,"[Introhouse, Outside, Bar, Outside, SheriffOffice, Outside, SheriffOffice, Outside, AbandonedHouse, Outside, Hotel, Outside, Bar, Outside, AbandonedHouse, Outside, Hotel, Outside, Hotel]",True
103,-0.674582766,9,4,47,35,33,2,0,1,23,33,7,7,0,0,0,"[Introhouse, Outside, Bar, Outside, SheriffOffice, Outside, AbandonedHouse, Outside, Bar, Outside, AbandonedHouse, Outside, Introhouse, Outside]",False
105,-1.988516467,7,5,68,1,0,1,0,1,27,20,3,3,0,0,0,"[Introhouse, Outside, Introhouse, Outside, AbandonedHouse, Outside, Bar, Outside, AbandonedHouse, Outside, Hotel, Outside]",False
106,-1.988516467,8,3,64,59,42,0,302,44,24,33,341,115,212,8,6,"[Introhouse, Outside, Bar, Outside, SheriffOffice, Outside, AbandonedHouse, Outside, Hotel, Outside, Bar, Outside, SheriffOffice, Outside, AbandonedHouse, Outside, Hotel, Outside, Hotel, Outside, AbandonedHouse, Outside, Bar, Outside, Introhouse, Outside, Mine]",True
108,-0.588025043,6,3,27,2,2,0,15,0,12,2,14,13,1,0,0,"[Introhouse, Outside, Bar, Outside, Mine]",True
109,-1.988516467,9,3,79,3,1,0,201,3,30,31,57,54,3,0,0,"[Introhouse, Outside, Introhouse, Outside, Hotel, Outside, Hotel]",False
110,1.780169188,12,6,83,64,53,11,6,11,38,26,42,3,0,0,39,"[Introhouse, Outside, Bar, Outside, SheriffOffice, Outside, SheriffOffice, Outside, SheriffOffice, Outside, Cave, Outside, AbandonedHouse, Outside, SheriffOffice, Outside, AbandonedHouse, Outside, SheriffOffice, Outside, Hotel, Mine]",True
111,-1.988516467,7,3,46,13,4,5,45,9,13,20,71,0,14,30,27,"[Introhouse, Outside, Introhouse, Outside, Mine, Outside, Hotel, Outside, AbandonedHouse, Outside]",False
112,2.126400081,6,3,47,52,33,3,76,10,19,36,34,16,15,0,3,"[Introhouse, Outside, SheriffOffice, Outside, Bar, Outside, AbandonedHouse, Outside, AbandonedHouse, Outside, Mine, Outside, Introhouse, Outside]",True
113,0.293120041,8,5,56,52,46,2,71,9,32,39,42,41,0,0,1,"[Introhouse, Outside, Introhouse, Outside, SheriffOffice, Outside, AbandonedHouse, Outside, Bar, Outside, AbandonedHouse, Outside, Hotel, Outside, Introhouse, Outside, SheriffOffice, Outside, SheriffOffice, Outside, Mine, Outside, Hotel, Outside, Bar, Outside, Hotel, Outside, Introhouse]",False
114,4.392468738,14,9,115,51,33,18,92,20,42,37,42,4,0,9,29,"[Introhouse, Outside, Bar, Outside, Mine, Outside, Mine, Outside, Mine, Outside, SheriffOffice, Outside, AbandonedHouse, Outside, AbandonedHouse, Outside, Cave, Outside, Hotel, Outside, Hotel]",True
115,-1.988516467,14,3,63,60,60,0,0,0,16,0,0,0,0,0,0,"[Introhouse, Outside, Mine, Outside, Hotel, Outside, AbandonedHouse, Outside]",False
117,-1.020813659,7,3,53,0,0,0,10,1,19,5,5,4,0,0,1,"[Introhouse, Outside, Mine]",False
